"Matrícula";"Instituição";"Sexo";"Curso";"Turno";"Turma Atual";"Per. Let. Ingresso"
"20201SEAQUI027";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20201.SEAQUI.1";"2020/1"
"20161SEAQUI0170";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2016/1"
"20141SEAQUI0267";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2014/1"
"20151SEAQUI0247";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SBCB.10";"2015/1"
"20201SEAQUI003";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2020/1"
"20201SEAQUI019";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2020/1"
"20161SEAQUI0367";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2016/1"
"20201SEAQUI004";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20201.SEAQUI.1";"2020/1"
"20161SEAQUI0286";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2016/1"
"20201SEAQUI022";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20201.SEAQUI.1";"2020/1"
"20191SEAQUI0072";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20201.SEAQUI.3";"2019/1"
"20191SEAQUI0250";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.4";"2019/1"
"20191SEAQUI0153";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.4";"2019/1"
"20151SEAQUI0131";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2015/1"
"20161SEAQUI0375";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.4";"2016/1"
"20201SEAQUI010";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20201.SEAQUI.1";"2020/1"
"20171SEAQUI0215";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2017/1"
"20191SEAQUI0048";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";;"2019/1"
"20201SEAQUI015";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2020/1"
"20181SEAQUI0211";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.6";"2018/1"
"20151SEAQUI0344";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";;"2015/1"
"20201SEAQUI016";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2020/1"
"20161SEAQUI0073";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";;"2016/1"
"20201SEAQUI006";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20201.SEAQUI.1";"2020/1"
"20161SEAQUI0081";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2016/1"
"20161SEAQUI0197";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.6";"2016/1"
"20201SEAQUI018";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";;"2020/1"
"20151SEAQUI0239";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2015/1"
"20201SEAQUI028";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2020/1"
"20191SEAQUI0234";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.4";"2019/1"
"20201SEAQUI021";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";;"2020/1"
"20171SEAQUI0088";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2017/1"
"20181SEAQUI0106";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";;"2018/1"
"20141SEAQUI0135";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";;"2014/1"
"20201SEAQUI024";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20201.SEAQUI.1";"2020/1"
"20161SEAQUI0189";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.4";"2016/1"
"20201SEAQUI017";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2020/1"
"20171SEAQUI0053";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2017/1"
"20181SEAQUI0092";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.8";"2018/1"
"20181SEAQUI0181";"Campus de Alegre";"F";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.6";"2018/1"
"20171SEAQUI0070";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2017/1"
"20151SEAQUI0174";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.2";"2015/1"
"20181SEAQUI0220";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20202.SEAQUI.6";"2018/1"
"20191SEAQUI0099";"Campus de Alegre";"M";"Bacharel em Engenharia de Aquicultura";"Integral";"20201.SEAQUI.3";"2019/1"
